epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,3714.98,0.65974,0.41389,0.91284,0.9544,0.82076,0.8728,0.72628,0.69837,0.38754,0.9365,0.0058024,0.0058024,0.0058024
108,3749.67,0.6564,0.41192,0.90989,0.95422,0.8239,0.87327,0.72551,0.69948,0.38458,0.93802,0.0057628,0.0057628,0.0057628
109,3783.19,0.65923,0.41317,0.91173,0.95681,0.82229,0.8735,0.72477,0.69778,0.38271,0.93404,0.0057232,0.0057232,0.0057232
110,3816.75,0.65674,0.40946,0.90694,0.96536,0.82113,0.87624,0.72786,0.7005,0.38519,0.93452,0.0056836,0.0056836,0.0056836
111,3848.73,0.65545,0.40824,0.90857,0.96175,0.82223,0.87573,0.72649,0.69783,0.38403,0.93603,0.005644,0.005644,0.005644
112,3880.84,0.65178,0.40816,0.90984,0.96255,0.82231,0.87582,0.72563,0.69647,0.38499,0.93593,0.0056044,0.0056044,0.0056044
113,3912.64,0.65014,0.40745,0.90843,0.96497,0.82156,0.87466,0.72477,0.69676,0.38245,0.9346,0.0055648,0.0055648,0.0055648
114,3944.67,0.64863,0.40427,0.90634,0.96486,0.82047,0.876,0.727,0.69544,0.38274,0.93209,0.0055252,0.0055252,0.0055252
115,3977,0.64827,0.40662,0.9077,0.96433,0.82192,0.87475,0.72871,0.69149,0.38144,0.93167,0.0054856,0.0054856,0.0054856
116,4009.07,0.64559,0.40345,0.90674,0.96914,0.81654,0.87379,0.72654,0.69506,0.38175,0.93266,0.005446,0.005446,0.005446
117,4041.27,0.63994,0.40273,0.90409,0.96235,0.82112,0.87578,0.72829,0.69309,0.38187,0.933,0.0054064,0.0054064,0.0054064
118,4073.27,0.6444,0.40086,0.90548,0.96384,0.82066,0.87718,0.72964,0.6898,0.3783,0.93296,0.0053668,0.0053668,0.0053668
